alpha,KAN,MLP-Reg,gap_pp,dataset
0.5,0.7791010163017529,0.7788281836163973,0.027283268535560623,sdss
1.0,0.7729895641497851,0.7727712980015006,0.02182661482845738,sdss
2.0,0.7537139349294046,0.7544096582770616,-0.06957233476569957,sdss
5.0,0.6941545597162541,0.6947275083555009,-0.05729486392468397,sdss
10.0,0.6418252506650297,0.6264784121137712,1.5346838551258513,sdss
0.5,0.82005,0.81545,0.45999999999999375,desi
1.0,0.81928,0.8144600000000001,0.48199999999999354,desi
2.0,0.8165700000000001,0.8104100000000001,0.6160000000000054,desi
5.0,0.80358,0.79633,0.7249999999999979,desi
10.0,0.78843,0.77784,1.0589999999999988,desi
