alpha,trial,Model,Accuracy,F1
0.5,0,KAN,0.7787326921765227,0.7339169671215375
0.5,0,MLP-Reg,0.7787326921765227,0.7387865218237742
0.5,1,KAN,0.7785280676625059,0.7343274476226891
0.5,1,MLP-Reg,0.7787326921765227,0.7391514999689922
0.5,2,KAN,0.7796876065752677,0.7352500752075056
0.5,2,MLP-Reg,0.7788009003478616,0.7389976191014686
0.5,3,KAN,0.7783234431484892,0.7341619765224848
0.5,3,MLP-Reg,0.7792101493758953,0.7393405948047318
0.5,4,KAN,0.7802332719459791,0.7359624910308882
0.5,4,MLP-Reg,0.7786644840051838,0.7392237222376237
1.0,0,KAN,0.7734806629834254,0.7291602691169186
1.0,0,MLP-Reg,0.772934997612714,0.7337945045776713
1.0,1,KAN,0.7732078302980697,0.729885561793778
1.0,1,MLP-Reg,0.7736170793261032,0.7345552640368251
1.0,2,KAN,0.7725939567560194,0.7285479525194167
1.0,2,MLP-Reg,0.772048291385308,0.7327411653105586
1.0,3,KAN,0.7724575404133415,0.727998945575371
1.0,3,MLP-Reg,0.7728667894413751,0.7333906986852168
1.0,4,KAN,0.7732078302980697,0.729305182822682
1.0,4,MLP-Reg,0.7723893322420026,0.7329536315637353
2.0,0,KAN,0.754382375008526,0.7113579615012566
2.0,0,MLP-Reg,0.7542459586658482,0.7154605981338824
2.0,1,KAN,0.7545187913512039,0.712792310177722
2.0,1,MLP-Reg,0.755337289407271,0.7175911346437964
2.0,2,KAN,0.7517222563263078,0.7097265020429052
2.0,2,MLP-Reg,0.7536320851237979,0.7160023766304625
2.0,3,KAN,0.7545187913512039,0.7123826302707187
2.0,3,MLP-Reg,0.7560875792919992,0.7173492799626234
2.0,4,KAN,0.753427460609781,0.7119440380542075
2.0,4,MLP-Reg,0.7527453788963918,0.7154773727349485
5.0,0,KAN,0.6937453106882204,0.6572287558100698
5.0,0,MLP-Reg,0.6949730577723211,0.6628304975399554
5.0,1,KAN,0.6931314371461701,0.6591508651400532
5.0,1,MLP-Reg,0.6955187231430325,0.6638390760819773
5.0,2,KAN,0.6908123593206467,0.656256943335547
5.0,2,MLP-Reg,0.6925175636041198,0.6617539170141402
5.0,3,KAN,0.6982470499965896,0.6627024938214482
5.0,3,MLP-Reg,0.6957233476570494,0.663638644019762
5.0,4,KAN,0.6948366414296433,0.6596286554091298
5.0,4,MLP-Reg,0.6949048496009822,0.663815122202826
10.0,0,KAN,0.6408157697292136,0.6099846473353557
10.0,0,MLP-Reg,0.6268330946047337,0.6041696052248042
10.0,1,KAN,0.6419753086419753,0.6117329914898328
10.0,1,MLP-Reg,0.6259463883773276,0.6034167790843336
10.0,2,KAN,0.6387695245890458,0.6086725406632766
10.0,2,MLP-Reg,0.6221949389536866,0.600764413838709
10.0,3,KAN,0.646954505149717,0.6141079767871054
10.0,3,MLP-Reg,0.629220380601596,0.6060383747693242
10.0,4,KAN,0.6406111452151968,0.6103986814310494
10.0,4,MLP-Reg,0.6281972580315122,0.6055640355745036
